,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
476,2.4615503e-07,52297.207,14.109753,118.88081881166524,0.0,81.222374,1242078667.9301758,1242078669.9301758,0.21425934,16367352,86.80769000000001,1242078667.9282227,1242078669.9282227,0.21425934,18461928,115.0548,12.337651,127.39245600000001,29.529330681709,0.107232824,-0.15470988,-0.15470988,22.7,86998,84.47879028320312,91.7869873046875,1242078669.9031596,0.4725401997566223,0.0010513969464227557,258.71359252929693,0.8383327126502991,5.962801933288574,6.123659133911133,4.179695129394531,-0.11085230112075806
477,2.4615503e-07,52297.207,13.763501999999999,29.320327100156728,0.0,21.251316,1242079470.9492188,1242079472.9492188,0.36448709999999995,9590287,20.200573000000002,1242079470.9394534,1242079472.9394534,0.36448709999999995,10815966,75.07983,8.510394999999999,83.590225,19.899982423513997,0.113351285,-0.8382409,-0.8382409,22.1,106194,72.8647689819336,8.865973472595215,1242079472.941343,0.8253877758979797,0.5147324204444885,106.3042984008789,1.0888299942016602,0.5793508887290955,1.3756320476531982,2.574748992919922,-0.8270645737648009
482,2.4615503e-07,52297.207,24.846601,41.37863886628599,0.0,29.501888,1242081079.3027346,1242081081.3027346,0.42796707,6957970,29.014313,1242081079.2973633,1242081081.2973633,0.42796707,7848605,33.278625,27.337803000000005,60.61643,26.23247841360519,0.82148236,-0.41082543,-0.41082543,24.6,28148,20.00567054748535,42.13877868652344,1242081081.2876382,0.9218711853027344,0.2016261965036392,238.7064971923828,0.6883602738380432,4.290857791900635,1.5059159994125366,1.947909951210022,-1.2942450046539309
491,0.99998707,0.0011436244000000001,7.8995895,8.459472622392969,0.0,5.7433767,1242082788.5922852,1242082790.5922852,0.43727297,3384052,6.2109822999999995,1242082788.6020508,1242082790.6020508,0.43727297,3816844,37.868164,29.738756,67.60692,29.171583189983288,0.78532344,0.23756088,0.23756088,25.2,27086,28.501140594482425,33.53316116333008,1242082790.6006794,0.8693686723709106,0.5706334114074707,2125.05908203125,2.511957883834839,4.240557193756104,2.60393500328064,0.38469159603118896,0.8440719842910767
498,7.384649e-07,17432.402,9.971831,12.16664184479633,0.0,9.105782000000001,1242107480.1972654,1242107482.1972654,0.26052645,8972093,8.069195,1242107480.1899414,1242107482.1899414,0.26052645,10120713,80.34693,39.912952000000004,120.25988999999998,48.71085288231741,0.49675766,0.9468232,0.9468232,26.5,24207,86.11846923828125,32.389720916748054,1242107482.1754613,0.9723554253578186,0.12744660675525665,1403.5260009765625,0.976654887199402,4.374252796173097,2.7946219444274902,5.681248188018799,-0.08897560089826584
500,2.4615503e-07,52297.207,27.76642,69.64120200946941,0.0,23.160675,1242108385.6572266,1242108387.6572266,0.42796707,6957924,65.67709,1242108385.6489258,1242108387.6489258,0.42796707,7848667,33.278625,27.337803000000005,60.61643,26.23247841360519,0.82148236,-0.41082543,-0.41082543,24.6,28148,39.716590881347656,25.32486915588379,1242108387.6600258,0.748534083366394,0.6073107719421387,103.07029724121094,1.762415051460266,1.816115975379944,4.259056091308594,4.692780017852783,0.01968237012624741
520,2.4615503e-07,52297.207,11.669246000000001,27.898053234695933,0.0,13.685542000000002,1242134989.0327148,1242134991.0327148,0.21425934,16367294,24.310642,1242134989.0405273,1242134991.0405273,0.21425934,18461859,115.0548,12.337651,127.39245600000001,29.529330681709,0.107232824,-0.15470988,-0.15470988,22.7,86998,121.09619903564452,25.93177032470703,1242134991.0166092,0.07827124744653703,0.3360382914543152,365.66448974609375,1.1419730186462402,5.40054988861084,1.9022990465164185,3.378201961517334,-0.05202249065041542
548,2.4615503e-07,52297.207,14.978551000000001,34.65664105881151,0.0,23.233376,1242146076.0302734,1242146078.0302734,0.15340163,11304390,25.715618,1242146076.0253904,1242146078.0253904,0.15340163,12749631,74.59433,31.291078999999996,105.88541000000001,41.29605698982811,0.41948333,-0.32082778,-0.32082778,24.6,24539,24.444110870361328,81.7677993774414,1242146078.0212796,0.7788603901863098,0.4956988096237183,294.818603515625,0.8833491802215576,4.454390048980713,3.52897310256958,2.194204092025757,0.294702410697937
550,2.4615503e-07,52297.207,16.707647,30.650855864324978,0.0,16.8461,1242146367.4335938,1242146369.4335938,0.30784047,14892379,25.606325,1242146367.427246,1242146369.427246,0.30784047,16798093,38.019634,29.311685999999998,67.33131999999999,29.012543936557485,0.7709618,-0.6716326,-0.6716326,24.4,27395,34.12652969360352,36.52608871459961,1242146369.4270544,0.8857635259628296,0.2755473852157593,229.2899932861328,1.1654460430145264,1.6821370124816897,4.035689830780028,2.1433150768280034,0.1890143007040024
553,1.0,0.00057282916,7.804671000000001,7.326931312282448,0.0,5.435117,1242147083.7753904,1242147085.7753904,0.37553093,15871286,4.913596,1242147083.7714846,1242147085.7714846,0.37553093,17902287,50.25248,17.673153,67.92563,25.274127983831843,0.35168720000000003,-0.6736616,-0.6736616,23.7,27047,23.27614021301269,40.443748474121094,1242147085.7552354,0.8553562164306641,0.7646716237068176,3005.637939453125,0.3182685077190399,1.9534369707107544,0.18474209308624268,2.94028902053833,-0.7212104201316833
555,9.846198000000001e-07,13074.302,10.007710000000001,22.090397168563108,0.0,8.193394,1242147271.9438474,1242147273.9438474,0.21425934,16367284,20.514725,1242147271.947754,1242147273.947754,0.21425934,18462041,115.0548,12.337651,127.39245600000001,29.529330681709,0.107232824,-0.15470988,-0.15470988,22.7,86998,108.67790222167969,34.45750045776367,1242147273.9363976,0.3138025999069214,0.9493982195854188,408.56719970703125,1.7815200090408323,2.801331043243408,5.46319580078125,5.402732849121094,-0.5105639100074768
566,2.4615503e-07,52297.207,12.914546000000001,24.184826891737078,0.0,16.04082,1242150472.540039,1242150474.540039,0.15180303,14785363,18.099667,1242150472.5458984,1242150474.5458984,0.15180303,16677485,102.97341999999999,35.179363,138.15278999999998,50.97250035335218,0.34163538,0.20143563,0.20143563,24.6,24567,81.18087005615234,54.10625076293945,1242150474.5360634,0.10960210114717484,0.24545060098171234,542.7410278320311,2.2900490760803223,3.477344036102295,3.0402719974517822,3.778024911880493,1.0279710292816162
567,2.4615503e-07,52297.207,13.534703,20.45597101618569,0.0,11.322422999999999,1242150574.9604492,1242150576.9604492,0.28861123,10183555,17.03671,1242150574.965332,1242150576.965332,0.28861123,11485391,49.844685,32.70329,82.54796999999999,34.993299001113854,0.65610385,0.058647025,0.058647025,25.0,24394,63.37181854248047,36.0207405090332,1242150576.940693,0.8725919127464294,0.9491953253746032,1216.31201171875,2.1067039966583248,1.3293609619140625,2.897613048553467,4.581770896911621,-0.558017373085022
569,2.4615503e-07,52297.207,26.796919,54.543314264997726,0.0,35.967552000000005,1242151590.9560547,1242151592.9560547,0.35936308,3095308,41.00376,1242151590.9560547,1242151592.9560547,0.35936308,3492010,39.465534000000005,26.659640000000003,66.125175,28.130016609303063,0.675517,-0.43183643,-0.43183643,24.6,24439,30.34398078918457,42.357688903808594,1242151592.9665842,0.2645004093647003,0.5319542288780212,296.23809814453125,0.8932623267173767,3.986005067825317,3.828191041946411,1.7961039543151855,1.0915600061416626
570,2.4615503e-07,52297.207,10.157088,12.879283459019682,0.0,6.183687,1242151676.705078,1242151678.705078,0.23890299,846900,11.297697,1242151676.6992188,1242151678.6992188,0.23890299,956031,51.801888,50.247093,102.04898,44.4132119282822,0.9699858,0.5159015,0.5159015,25.8,32212,31.013280868530273,59.885780334472656,1242151678.7108512,0.538167417049408,0.6356865167617798,2926.498046875,0.08567328751087189,0.5810517072677612,0.3142310082912445,1.5739150047302246,0.4716154038906098
590,2.4615503e-07,52297.207,15.18224,104.02581363491802,0.0,52.295609999999996,1242196381.9555664,1242196383.9555664,0.23634120000000003,6360725,89.925186,1242196381.959961,1242196383.959961,0.23634120000000003,7175586,130.11755,15.559311,145.67686,35.57276572352304,0.119578876,0.23161554,0.23161554,23.1,60806,48.33327865600586,146.93080139160156,1242196383.933384,0.2740893065929413,0.4588279128074646,389.6742858886719,3.0998830795288086,2.0621209144592285,4.969793796539307,0.8061246871948242,0.1485086977481842
