,fap,ifar,stat,snr,timeslide_value,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
989,1.0,1.2358145e-06,5.9216466,7.048024,0.0,5.319431,1242381483.7592773,1242381485.7592773,3.9872637,16980038,4.6236672,1242381483.758789,1242381485.758789,3.9872637,15053380,12.436043,7.0773277,19.51337,8.103347258969132,0.56909806,-0.5108599,-0.5108599,24.5,18241,32.72789001464844,4.933442115783691,1242381484.6649387,0.8002902865409851,0.7209640741348267,2084.200927734375,0.8827630281448364,1.219182014465332,0.9879043102264404,3.9075369834899902,-0.48920100927352905
990,2.4615503e-07,52297.207,11.757683,13.06387,0.0,9.545879,1242381676.8955078,1242381678.8955078,0.61542493,13562535,8.91857,1242381676.899414,1242381678.899414,0.61542493,12024559,29.541912,24.82932,54.37123,23.559617182892907,0.84047776,0.008942844,0.008942844,24.8,33017,27.200550079345703,26.408130645751953,1242381678.8753078,0.5922908782958984,0.7401459813117981,725.771728515625,1.2286560535430908,5.007322788238525,2.786587953567505,1.3438149690628052,-1.1192699670791626
991,7.384649e-07,17432.402,10.064131,11.857811,0.0,9.935186,1242381873.6523438,1242381875.6523438,1.3019242,19022937,6.473002,1242381873.661621,1242381875.661621,1.3019242,16862178,36.7941,7.592207,44.386307,13.747949865656645,0.20634304,-0.9024787,-0.9024787,22.9,40431,6.934834003448486,44.35625076293945,1242381875.6597364,0.5915926098823547,0.5648385286331177,680.8104858398438,3.0235209465026855,2.119241952896118,1.855921983718872,5.656763076782227,-0.5126088857650757
992,2.4615503e-07,52297.207,15.893683,17.11843,0.0,13.643147,1242382466.175293,1242382468.175293,17.296413,12567901,10.339497,1242382466.1757812,1242382468.1757812,17.296413,11142742,6.7461233,2.3702128,9.116336,3.391102385097396,0.35134444,0.067999795,0.067999795,25.2,196756,5.540943145751953,2.7914481163024902,1242382468.1895409,0.18335109949111938,0.23027899861335754,247.55760192871094,2.947050094604492,3.514641046524048,2.460374116897583,0.028446679934859276,1.05520498752594
993,0.65270096,0.012172465,8.205132,8.815955,0.0,6.2622776,1242382568.5141602,1242382570.5141602,1.1405655,2805534,6.205235,1242382568.5175781,1242382570.5175781,1.1405655,2487703,65.95209,8.153553,74.10564,18.381248815418637,0.12362843,0.8353038,0.8353038,25.2,46036,76.06331634521484,7.363722801208496,1242382570.5025535,0.9180325865745544,0.5774844288825989,1657.7550048828125,2.577296018600464,2.847687005996704,2.9059829711914062,1.1166919469833374,0.011433370411396027
994,1.0,1.9836818e-06,6.5008273,6.314303,0.0,4.0395937,1242382675.4663086,1242382677.4663086,4.8719873,8630887,4.853051,1242382675.463379,1242382677.463379,4.8719873,7650542,105.34961,1.4746406,106.82425,8.11068436548689,0.01399759,0.74517196,0.0,23.1,53851,55.688480377197266,77.23583984375,1242382677.3524494,0.05840054154396057,0.334566205739975,2973.096923828125,0.7090603113174438,0.7035108208656311,5.010735988616943,1.7824050188064575,0.5598099827766418
995,2.4615503e-07,52297.207,11.313941,13.786283,0.0,10.649011,1242383381.213379,1242383383.213379,0.40273935,12225176,8.755578,1242383381.2124023,1242383383.2124023,0.40273935,10838235,84.2651,22.44313,106.70823,36.34118781758456,0.26633957,0.99342054,0.99342054,26.8,39057,17.314800262451172,95.9971923828125,1242383383.2052238,0.15289899706840515,0.9902889132499695,690.4929809570312,1.9401090145111084,1.5374130010604858,2.8832969665527344,4.337132930755615,-0.3638879060745239
996,2.4615503e-07,52297.207,35.138767,87.397644,0.0,57.197163,1242384171.3325195,1242384173.3325195,0.5203603,15730652,66.08201,1242384171.3276367,1242384173.3276367,0.5203603,13945307,38.990402,24.933987,63.92439,27.009487645640753,0.63949037,0.34846008,0.34846008,25.2,24001,43.98456954956055,22.604930877685547,1242384173.3312936,0.371733695268631,0.2925545871257782,96.78067016601562,1.4005709886550903,3.7589359283447266,0.5270072221755981,4.0882110595703125,-0.1156679019331932
997,0.019678844,0.64770764,8.684278,12.208595,0.0,10.961426,1242385071.6503906,1242385073.6503906,0.23680045,15761244,5.375588,1242385071.6601562,1242385073.6601562,0.23680045,13972149,79.71832,30.00299,109.72131,41.607863946685605,0.37636253,0.33166462,0.33166462,24.9,24436,59.180908203125,59.07194137573242,1242385073.6485698,0.004223383031785488,0.7026897072792053,1002.0260009765625,0.8565469980239868,5.55269718170166,1.7511589527130127,0.029514160007238388,-0.3528467118740082
998,2.4615503e-07,52297.207,40.136734,47.142647,0.0,39.986103,1242386466.0473633,1242386468.0473633,6.4812346,9533202,24.9708,1242386466.052246,1242386468.052246,6.4812346,8450266,20.065441,3.023232,23.088673,6.267182134728338,0.1506686,0.5639941,0.5639941,25.0,392564,8.932732582092285,5.731967926025391,1242386468.0653303,0.14085279405117035,0.8225566148757935,154.8842010498047,0.6049091815948486,0.39950770139694214,4.351235866546631,5.439962863922119,0.07698401063680649
